Feature,Importance
Flow IAT Max,0.06740705431353262
Subflow Fwd Bytes,0.06576380580894804
Fwd Packet Length Mean,0.06235123411827893
Bwd Packets/s,0.061594310525298755
Average Packet Size,0.058807512237635085
Total Length of Fwd Packets,0.05309127363448051
Fwd Packet Length Max,0.0506910408135374
PSH Flag Count,0.04864700693101161
Packet Length Mean,0.04839721735582141
Packet Length Std,0.04560319091722783
Flow Duration,0.044349410795279286
Avg Fwd Segment Size,0.040913063296020576
Subflow Fwd Packets,0.03743592595382022
Max Packet Length,0.03204556613124802
ACK Flag Count,0.02246135104147305
Avg Bwd Segment Size,0.020091972663143505
Init_Win_bytes_forward,0.018254436844419325
Fwd IAT Total,0.017093518904887608
Total Fwd Packets,0.01592794731357857
Bwd Packet Length Mean,0.015695569293103243
Bwd Header Length,0.014884321279078018
Flow Packets/s,0.014846687961042798
Flow Bytes/s,0.014063087921056509
Packet Length Variance,0.013686862502389046
Bwd Packet Length Min,0.012045669276111762
Fwd IAT Min,0.011874849263405846
Total Length of Bwd Packets,0.01079983002269988
Subflow Bwd Bytes,0.010254296413007045
Bwd Packet Length Max,0.010031226726147391
Fwd Packet Length Min,0.008555180363028025
Fwd Packets/s,0.007754757453544986
Init_Win_bytes_backward,0.007653511361634919
Flow IAT Mean,0.006719469876988639
Flow IAT Std,0.0054109655722208196
Min Packet Length,0.00492311665265566
Fwd Header Length,0.002988302334199854
Bwd IAT Max,0.0025043404029640873
URG Flag Count,0.002449620179513736
Fwd IAT Max,0.002231637207445527
Fwd Header Length.1,0.00190755845063656
Fwd IAT Mean,0.0016829202050442451
Total Backward Packets,0.0009164208238660543
Bwd IAT Min,0.0006584056285715996
Destination Port,0.0006135541304331502
Flow IAT Min,0.0005013308157559767
Bwd IAT Total,0.0004763119411563461
Fwd IAT Std,0.0004239398727240396
Bwd IAT Mean,0.00041360437936403
min_seg_size_forward,0.0003450172199628022
Bwd Packet Length Std,0.0002595545412828136
Idle Min,0.0002594960072623924
Fwd Packet Length Std,0.0002488250979507578
Subflow Bwd Packets,0.00018748155622379738
FIN Flag Count,0.0001682244768334938
Idle Mean,0.0001597615983484638
Bwd IAT Std,0.00015358398940421976
Down/Up Ratio,0.00011787427720053464
act_data_pkt_fwd,5.436759925008287e-05
Idle Max,5.03955809403056e-05
Active Max,3.3057760415781746e-05
Active Min,2.815504202890758e-05
Active Std,1.693831675684672e-05
Active Mean,1.4842767793878377e-05
Idle Std,7.556249143414401e-06
Fwd PSH Flags,6.80009769198352e-07
RST Flag Count,0.0
Bwd URG Flags,0.0
SYN Flag Count,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
